env,design,seed,condition,mask_start,mask_end,n_episodes,first_post_mse
dmc:finger.spin.occ,hacsmv4_static,1,early,6,12,150,1.466890811920166
dmc:finger.spin.occ,hacsmv4_static,1,late,14,20,150,1.3701660633087158
dmc:finger.spin.occ,hacsmv4_static,1,longer,10,19,150,1.5138535499572754
dmc:finger.spin.occ,hacsmv4_static,2,original,10,16,150,1.4550172090530396
dmc:finger.spin.occ,hacsmv4_static,2,early,6,12,150,1.4540168046951294
dmc:finger.spin.occ,hacsmv4_static,2,late,14,20,150,1.3347193002700806
dmc:finger.spin.occ,hacsmv4_static,2,longer,10,19,150,1.4654685258865356
dmc:finger.spin.occ,hacsmv4_noaction,0,original,10,16,150,1.442884922027588
dmc:finger.spin.occ,hacsmv4_noaction,0,early,6,12,150,1.4627670049667358
dmc:finger.spin.occ,hacsmv4_noaction,0,late,14,20,150,1.4113945960998535
dmc:finger.spin.occ,hacsmv4_noaction,0,longer,10,19,150,1.5500603914260864
dmc:finger.spin.occ,hacsmv4_noaction,1,original,10,16,150,1.4418855905532837
dmc:finger.spin.occ,hacsmv4_noaction,1,early,6,12,150,1.4799174070358276
dmc:finger.spin.occ,hacsmv4_noaction,1,late,14,20,150,1.4079734086990356
dmc:finger.spin.occ,hacsmv4_noaction,1,longer,10,19,150,1.56276273727417
dmc:finger.spin.occ,hacsmv4_noaction,2,original,10,16,150,1.47169029712677
dmc:finger.spin.occ,hacsmv4_noaction,2,early,6,12,150,1.4858909845352173
dmc:finger.spin.occ,hacsmv4_noaction,2,late,14,20,150,1.3839497566223145
dmc:finger.spin.occ,hacsmv4_noaction,2,longer,10,19,150,1.541797161102295
dmc:finger.spin.occ,hacsmv4_noaux,0,original,10,16,150,1.2757331132888794
dmc:finger.spin.occ,hacsmv4_noaux,0,early,6,12,150,1.3000370264053345
dmc:finger.spin.occ,hacsmv4_noaux,0,late,14,20,150,1.2364813089370728
dmc:finger.spin.occ,hacsmv4_noaux,0,longer,10,19,150,1.417446494102478
dmc:finger.spin.occ,hacsmv4_noaux,1,original,10,16,150,1.2754162549972534
dmc:finger.spin.occ,hacsmv4_noaux,1,early,6,12,150,1.299137830734253
dmc:finger.spin.occ,hacsmv4_noaux,1,late,14,20,150,1.225868821144104
dmc:finger.spin.occ,hacsmv4_noaux,1,longer,10,19,150,1.3944427967071533
dmc:finger.spin.occ,hacsmv4_noaux,2,original,10,16,150,1.3114969730377197
dmc:finger.spin.occ,hacsmv4_noaux,2,early,6,12,150,1.2946999073028564
dmc:finger.spin.occ,hacsmv4_noaux,2,late,14,20,150,1.2278550863265991
dmc:finger.spin.occ,hacsmv4_noaux,2,longer,10,19,150,1.441752314567566
dmc:finger.spin.occ,hacsmv4_single,0,original,10,16,150,1.2846852540969849
dmc:finger.spin.occ,hacsmv4_single,0,early,6,12,150,1.321999430656433
dmc:finger.spin.occ,hacsmv4_single,0,late,14,20,150,1.2139344215393066
dmc:finger.spin.occ,hacsmv4_single,0,longer,10,19,150,1.3386555910110474
dmc:finger.spin.occ,hacsmv4_single,1,original,10,16,150,1.3201711177825928
dmc:finger.spin.occ,hacsmv4_single,1,early,6,12,150,1.3746496438980103
dmc:finger.spin.occ,hacsmv4_single,1,late,14,20,150,1.258957862854004
dmc:finger.spin.occ,hacsmv4_single,1,longer,10,19,150,1.3740596771240234
dmc:finger.spin.occ,hacsmv4_single,2,original,10,16,150,1.3378530740737915
dmc:finger.spin.occ,hacsmv4_single,2,early,6,12,150,1.3669997453689575
dmc:finger.spin.occ,hacsmv4_single,2,late,14,20,150,1.216105580329895
dmc:finger.spin.occ,hacsmv4_single,2,longer,10,19,150,1.3345509767532349
dmc:finger.spin.occ,hacsmv4,0,original,10,16,150,1.2663912773132324
dmc:finger.spin.occ,hacsmv4,0,early,6,12,150,1.287838339805603
dmc:finger.spin.occ,hacsmv4,0,late,14,20,150,1.237043023109436
dmc:finger.spin.occ,hacsmv4,0,longer,10,19,150,1.3604589700698853
dmc:finger.spin.occ,hacsmv4,1,original,10,16,150,1.2724003791809082
dmc:finger.spin.occ,hacsmv4,1,early,6,12,150,1.3103797435760498
dmc:finger.spin.occ,hacsmv4,1,late,14,20,150,1.2555547952651978
dmc:finger.spin.occ,hacsmv4,1,longer,10,19,150,1.3567569255828857
dmc:finger.spin.occ,hacsmv4,2,original,10,16,150,1.3070342540740967
dmc:finger.spin.occ,hacsmv4,2,early,6,12,150,1.3158751726150513
dmc:finger.spin.occ,hacsmv4,2,late,14,20,150,1.2283344268798828
dmc:finger.spin.occ,hacsmv4,2,longer,10,19,150,1.348998785018921
dmc:cheetah.run.occ,none,0,original,10,16,150,0.6396088004112244
dmc:cheetah.run.occ,none,0,early,6,12,150,0.6252915859222412
dmc:cheetah.run.occ,none,0,late,14,20,150,0.6348836421966553
dmc:cheetah.run.occ,none,0,longer,10,19,150,0.6316865086555481
dmc:cheetah.run.occ,none,1,original,10,16,150,0.6379517316818237
dmc:cheetah.run.occ,none,1,early,6,12,150,0.6304223537445068
dmc:cheetah.run.occ,none,1,late,14,20,150,0.6323758959770203
dmc:cheetah.run.occ,none,1,longer,10,19,150,0.6244117617607117
dmc:cheetah.run.occ,none,2,original,10,16,150,0.6283038258552551
dmc:cheetah.run.occ,none,2,early,6,12,150,0.627918004989624
dmc:cheetah.run.occ,none,2,late,14,20,150,0.6280544996261597
dmc:cheetah.run.occ,none,2,longer,10,19,150,0.6198636293411255
dmc:cheetah.run.occ,multi,0,original,10,16,150,0.7657040357589722
dmc:cheetah.run.occ,multi,0,early,6,12,150,0.7991341352462769
dmc:cheetah.run.occ,multi,0,late,14,20,150,0.747635543346405
dmc:cheetah.run.occ,multi,0,longer,10,19,150,0.8289640545845032
dmc:cheetah.run.occ,multi,1,original,10,16,150,0.7970665693283081
dmc:cheetah.run.occ,multi,1,early,6,12,150,0.823364794254303
dmc:cheetah.run.occ,multi,1,late,14,20,150,0.7773543000221252
dmc:cheetah.run.occ,multi,1,longer,10,19,150,0.8458788990974426
dmc:cheetah.run.occ,multi,2,original,10,16,150,0.7841135859489441
dmc:cheetah.run.occ,multi,2,early,6,12,150,0.8200159072875977
dmc:cheetah.run.occ,multi,2,late,14,20,150,0.7630708813667297
dmc:cheetah.run.occ,multi,2,longer,10,19,150,0.8134250640869141
dmc:cheetah.run.occ,ssm,0,original,10,16,150,0.6559765338897705
dmc:cheetah.run.occ,ssm,0,early,6,12,150,0.6803182363510132
dmc:cheetah.run.occ,ssm,0,late,14,20,150,0.6724006533622742
dmc:cheetah.run.occ,ssm,0,longer,10,19,150,0.7452842593193054
dmc:cheetah.run.occ,ssm,1,original,10,16,150,0.6611087918281555
dmc:cheetah.run.occ,ssm,1,early,6,12,150,0.6859824657440186
dmc:cheetah.run.occ,ssm,1,late,14,20,150,0.6708210706710815
dmc:cheetah.run.occ,ssm,1,longer,10,19,150,0.7601918578147888
dmc:cheetah.run.occ,ssm,2,original,10,16,150,0.6521008610725403
dmc:cheetah.run.occ,ssm,2,early,6,12,150,0.6848785281181335
dmc:cheetah.run.occ,ssm,2,late,14,20,150,0.6617711186408997
dmc:cheetah.run.occ,ssm,2,longer,10,19,150,0.7402068376541138
dmc:cheetah.run.occ,smtv3,0,original,10,16,150,0.8424439430236816
dmc:cheetah.run.occ,smtv3,0,early,6,12,150,0.8824089765548706
dmc:cheetah.run.occ,smtv3,0,late,14,20,150,0.846094012260437
dmc:cheetah.run.occ,smtv3,0,longer,10,19,150,0.8522244691848755
dmc:cheetah.run.occ,smtv3,1,original,10,16,150,0.8094376921653748
dmc:cheetah.run.occ,smtv3,1,early,6,12,150,0.9283691644668579
dmc:cheetah.run.occ,smtv3,1,late,14,20,150,0.8638999462127686
dmc:cheetah.run.occ,smtv3,1,longer,10,19,150,0.8756258487701416
dmc:cheetah.run.occ,smtv3,2,original,10,16,150,0.854485273361206
dmc:cheetah.run.occ,smtv3,2,early,6,12,150,0.9139243960380554
dmc:cheetah.run.occ,smtv3,2,late,14,20,150,0.8697199821472168
dmc:cheetah.run.occ,smtv3,2,longer,10,19,150,0.8877026438713074
dmc:cheetah.run.occ,hacsmv4_static,0,original,10,16,150,0.616755485534668
dmc:cheetah.run.occ,hacsmv4_static,0,early,6,12,150,0.6607672572135925
dmc:cheetah.run.occ,hacsmv4_static,0,late,14,20,150,0.628486156463623
dmc:cheetah.run.occ,hacsmv4_static,0,longer,10,19,150,0.6296141147613525
dmc:cheetah.run.occ,hacsmv4_static,1,original,10,16,150,0.6283586621284485
dmc:cheetah.run.occ,hacsmv4_static,1,early,6,12,150,0.6470819115638733
dmc:cheetah.run.occ,hacsmv4_static,1,late,14,20,150,0.6654702425003052
dmc:cheetah.run.occ,hacsmv4_static,1,longer,10,19,150,0.6328723430633545
dmc:cheetah.run.occ,hacsmv4_static,2,original,10,16,150,0.5689298510551453
dmc:cheetah.run.occ,hacsmv4_static,2,early,6,12,150,0.6097673773765564
dmc:cheetah.run.occ,hacsmv4_static,2,late,14,20,150,0.6031728982925415
dmc:cheetah.run.occ,hacsmv4_static,2,longer,10,19,150,0.5574731826782227
dmc:cheetah.run.occ,hacsmv4_noaction,0,original,10,16,150,0.7790030837059021
dmc:cheetah.run.occ,hacsmv4_noaction,0,early,6,12,150,0.8616649508476257
dmc:cheetah.run.occ,hacsmv4_noaction,0,late,14,20,150,0.7409123778343201
dmc:cheetah.run.occ,hacsmv4_noaction,0,longer,10,19,150,0.8059436082839966
dmc:cheetah.run.occ,hacsmv4_noaction,1,original,10,16,150,0.7955811023712158
dmc:cheetah.run.occ,hacsmv4_noaction,1,early,6,12,150,0.8967745304107666
dmc:cheetah.run.occ,hacsmv4_noaction,1,late,14,20,150,0.7826294898986816
dmc:cheetah.run.occ,hacsmv4_noaction,1,longer,10,19,150,0.8596633076667786
dmc:cheetah.run.occ,hacsmv4_noaction,2,original,10,16,150,0.806857705116272
dmc:cheetah.run.occ,hacsmv4_noaction,2,early,6,12,150,0.8462236523628235
dmc:cheetah.run.occ,hacsmv4_noaction,2,late,14,20,150,0.7964265942573547
dmc:cheetah.run.occ,hacsmv4_noaction,2,longer,10,19,150,0.8201411962509155
dmc:cheetah.run.occ,hacsmv4_noaux,0,original,10,16,150,0.5852359533309937
dmc:cheetah.run.occ,hacsmv4_noaux,0,early,6,12,150,0.6235485672950745
dmc:cheetah.run.occ,hacsmv4_noaux,0,late,14,20,150,0.6586971282958984
dmc:cheetah.run.occ,hacsmv4_noaux,0,longer,10,19,150,0.698796272277832
dmc:cheetah.run.occ,hacsmv4_noaux,1,original,10,16,150,0.5737154483795166
dmc:cheetah.run.occ,hacsmv4_noaux,1,early,6,12,150,0.6292256712913513
dmc:cheetah.run.occ,hacsmv4_noaux,1,late,14,20,150,0.6282932162284851
dmc:cheetah.run.occ,hacsmv4_noaux,1,longer,10,19,150,0.652005672454834
dmc:cheetah.run.occ,hacsmv4_noaux,2,original,10,16,150,0.6038159132003784
dmc:cheetah.run.occ,hacsmv4_noaux,2,early,6,12,150,0.6495407223701477
dmc:cheetah.run.occ,hacsmv4_noaux,2,late,14,20,150,0.6579147577285767
dmc:cheetah.run.occ,hacsmv4_noaux,2,longer,10,19,150,0.7055545449256897
dmc:cheetah.run.occ,hacsmv4_single,0,original,10,16,150,0.6199016571044922
dmc:cheetah.run.occ,hacsmv4_single,0,early,6,12,150,0.6742902994155884
dmc:cheetah.run.occ,hacsmv4_single,0,late,14,20,150,0.6641092896461487
dmc:cheetah.run.occ,hacsmv4_single,0,longer,10,19,150,0.6726958751678467
dmc:cheetah.run.occ,hacsmv4_single,1,original,10,16,150,0.5934038758277893
dmc:cheetah.run.occ,hacsmv4_single,1,early,6,12,150,0.6250545382499695
dmc:cheetah.run.occ,hacsmv4_single,1,late,14,20,150,0.645423412322998
dmc:cheetah.run.occ,hacsmv4_single,1,longer,10,19,150,0.6315699815750122
dmc:cheetah.run.occ,hacsmv4_single,2,original,10,16,150,0.6151672601699829
dmc:cheetah.run.occ,hacsmv4_single,2,early,6,12,150,0.6616915464401245
dmc:cheetah.run.occ,hacsmv4_single,2,late,14,20,150,0.6735910177230835
dmc:cheetah.run.occ,hacsmv4_single,2,longer,10,19,150,0.6295294761657715
dmc:cheetah.run.occ,hacsmv4,0,original,10,16,150,0.6152200698852539
dmc:cheetah.run.occ,hacsmv4,0,early,6,12,150,0.6555357575416565
dmc:cheetah.run.occ,hacsmv4,0,late,14,20,150,0.658446729183197
dmc:cheetah.run.occ,hacsmv4,0,longer,10,19,150,0.6495521664619446
dmc:cheetah.run.occ,hacsmv4,1,original,10,16,150,0.5909488797187805
dmc:cheetah.run.occ,hacsmv4,1,early,6,12,150,0.6547334790229797
dmc:cheetah.run.occ,hacsmv4,1,late,14,20,150,0.6441686153411865
dmc:cheetah.run.occ,hacsmv4,1,longer,10,19,150,0.6281296610832214
dmc:cheetah.run.occ,hacsmv4,2,original,10,16,150,0.6135384440422058
dmc:cheetah.run.occ,hacsmv4,2,early,6,12,150,0.6754981875419617
dmc:cheetah.run.occ,hacsmv4,2,late,14,20,150,0.673791766166687
dmc:cheetah.run.occ,hacsmv4,2,longer,10,19,150,0.6568348407745361
ogbench:cube-single.occ,none,0,original,10,16,150,2.2124698162078857
ogbench:cube-single.occ,none,0,early,6,12,150,2.3378210067749023
ogbench:cube-single.occ,none,0,late,14,20,150,2.2089431285858154
ogbench:cube-single.occ,none,0,longer,10,19,150,2.179272174835205
ogbench:cube-single.occ,none,1,original,10,16,150,2.2294156551361084
ogbench:cube-single.occ,none,1,early,6,12,150,2.3438096046447754
ogbench:cube-single.occ,none,1,late,14,20,150,2.1978938579559326
ogbench:cube-single.occ,none,1,longer,10,19,150,2.1936023235321045
ogbench:cube-single.occ,none,2,original,10,16,150,2.231309652328491
ogbench:cube-single.occ,none,2,early,6,12,150,2.3531343936920166
ogbench:cube-single.occ,none,2,late,14,20,150,2.196394920349121
ogbench:cube-single.occ,none,2,longer,10,19,150,2.171898365020752
ogbench:cube-single.occ,multi,0,original,10,16,150,1.8871577978134155
ogbench:cube-single.occ,multi,0,early,6,12,150,1.9637858867645264
ogbench:cube-single.occ,multi,0,late,14,20,150,1.9292047023773193
ogbench:cube-single.occ,multi,0,longer,10,19,150,2.255760669708252
ogbench:cube-single.occ,multi,1,original,10,16,150,1.9080188274383545
ogbench:cube-single.occ,multi,1,early,6,12,150,1.9645607471466064
ogbench:cube-single.occ,multi,1,late,14,20,150,1.9317021369934082
ogbench:cube-single.occ,multi,1,longer,10,19,150,2.152773380279541
ogbench:cube-single.occ,multi,2,original,10,16,150,1.8711166381835938
ogbench:cube-single.occ,multi,2,early,6,12,150,1.8991042375564575
ogbench:cube-single.occ,multi,2,late,14,20,150,1.89370858669281
ogbench:cube-single.occ,multi,2,longer,10,19,150,2.1690914630889893
ogbench:cube-single.occ,ssm,0,original,10,16,150,1.4920251369476318
ogbench:cube-single.occ,ssm,0,early,6,12,150,1.5995097160339355
ogbench:cube-single.occ,ssm,0,late,14,20,150,1.502408504486084
ogbench:cube-single.occ,ssm,0,longer,10,19,150,1.8783090114593506
ogbench:cube-single.occ,ssm,1,original,10,16,150,1.4840943813323975
ogbench:cube-single.occ,ssm,1,early,6,12,150,1.6144325733184814
ogbench:cube-single.occ,ssm,1,late,14,20,150,1.4930163621902466
ogbench:cube-single.occ,ssm,1,longer,10,19,150,1.7352023124694824
ogbench:cube-single.occ,ssm,2,original,10,16,150,1.4732718467712402
ogbench:cube-single.occ,ssm,2,early,6,12,150,1.605948567390442
ogbench:cube-single.occ,ssm,2,late,14,20,150,1.4736863374710083
ogbench:cube-single.occ,ssm,2,longer,10,19,150,1.9796024560928345
ogbench:cube-single.occ,smtv3,0,original,10,16,150,1.782942771911621
ogbench:cube-single.occ,smtv3,0,early,6,12,150,1.8675744533538818
ogbench:cube-single.occ,smtv3,0,late,14,20,150,1.8166581392288208
ogbench:cube-single.occ,smtv3,0,longer,10,19,150,1.907646894454956
ogbench:cube-single.occ,smtv3,1,original,10,16,150,1.8277000188827515
ogbench:cube-single.occ,smtv3,1,early,6,12,150,1.8937791585922241
ogbench:cube-single.occ,smtv3,1,late,14,20,150,1.8254727125167847
ogbench:cube-single.occ,smtv3,1,longer,10,19,150,1.9462693929672241
ogbench:cube-single.occ,smtv3,2,original,10,16,150,1.8117446899414062
ogbench:cube-single.occ,smtv3,2,early,6,12,150,1.8728646039962769
ogbench:cube-single.occ,smtv3,2,late,14,20,150,1.832144856452942
ogbench:cube-single.occ,smtv3,2,longer,10,19,150,1.9381264448165894
ogbench:cube-single.occ,hacsmv4_static,0,original,10,16,150,1.6744967699050903
ogbench:cube-single.occ,hacsmv4_static,0,early,6,12,150,1.7702267169952393
ogbench:cube-single.occ,hacsmv4_static,0,late,14,20,150,1.6790200471878052
ogbench:cube-single.occ,hacsmv4_static,0,longer,10,19,150,1.7556136846542358
ogbench:cube-single.occ,hacsmv4_static,1,original,10,16,150,1.7103536128997803
ogbench:cube-single.occ,hacsmv4_static,1,early,6,12,150,1.7653474807739258
ogbench:cube-single.occ,hacsmv4_static,1,late,14,20,150,1.7087059020996094
ogbench:cube-single.occ,hacsmv4_static,1,longer,10,19,150,1.752485752105713
ogbench:cube-single.occ,hacsmv4_static,2,original,10,16,150,1.6876169443130493
ogbench:cube-single.occ,hacsmv4_static,2,early,6,12,150,1.7649990320205688
ogbench:cube-single.occ,hacsmv4_static,2,late,14,20,150,1.7156002521514893
ogbench:cube-single.occ,hacsmv4_static,2,longer,10,19,150,1.8479478359222412
ogbench:cube-single.occ,hacsmv4_noaction,0,original,10,16,150,1.8328056335449219
ogbench:cube-single.occ,hacsmv4_noaction,0,early,6,12,150,1.8945674896240234
ogbench:cube-single.occ,hacsmv4_noaction,0,late,14,20,150,1.8527793884277344
ogbench:cube-single.occ,hacsmv4_noaction,0,longer,10,19,150,1.9264192581176758
ogbench:cube-single.occ,hacsmv4_noaction,1,original,10,16,150,1.8497949838638306
ogbench:cube-single.occ,hacsmv4_noaction,1,early,6,12,150,1.8915560245513916
ogbench:cube-single.occ,hacsmv4_noaction,1,late,14,20,150,1.8561725616455078
ogbench:cube-single.occ,hacsmv4_noaction,1,longer,10,19,150,1.9248812198638916
ogbench:cube-single.occ,hacsmv4_noaction,2,original,10,16,150,1.804915428161621
ogbench:cube-single.occ,hacsmv4_noaction,2,early,6,12,150,1.8720906972885132
ogbench:cube-single.occ,hacsmv4_noaction,2,late,14,20,150,1.8110440969467163
ogbench:cube-single.occ,hacsmv4_noaction,2,longer,10,19,150,1.914986252784729
ogbench:cube-single.occ,hacsmv4_noaux,0,original,10,16,150,1.5579721927642822
ogbench:cube-single.occ,hacsmv4_noaux,0,early,6,12,150,1.6111794710159302
ogbench:cube-single.occ,hacsmv4_noaux,0,late,14,20,150,1.5584572553634644
ogbench:cube-single.occ,hacsmv4_noaux,0,longer,10,19,150,1.6159454584121704
ogbench:cube-single.occ,hacsmv4_noaux,1,original,10,16,150,1.5523149967193604
ogbench:cube-single.occ,hacsmv4_noaux,1,early,6,12,150,1.605507254600525
ogbench:cube-single.occ,hacsmv4_noaux,1,late,14,20,150,1.5644831657409668
ogbench:cube-single.occ,hacsmv4_noaux,1,longer,10,19,150,1.5792895555496216
ogbench:cube-single.occ,hacsmv4_noaux,2,original,10,16,150,1.5203293561935425
ogbench:cube-single.occ,hacsmv4_noaux,2,early,6,12,150,1.640791654586792
ogbench:cube-single.occ,hacsmv4_noaux,2,late,14,20,150,1.5358561277389526
ogbench:cube-single.occ,hacsmv4_noaux,2,longer,10,19,150,1.6145992279052734
ogbench:cube-single.occ,hacsmv4_single,0,original,10,16,150,1.646579623222351
ogbench:cube-single.occ,hacsmv4_single,0,early,6,12,150,1.7247754335403442
ogbench:cube-single.occ,hacsmv4_single,0,late,14,20,150,1.6253666877746582
ogbench:cube-single.occ,hacsmv4_single,0,longer,10,19,150,1.7030208110809326
ogbench:cube-single.occ,hacsmv4_single,1,original,10,16,150,1.6244677305221558
ogbench:cube-single.occ,hacsmv4_single,1,early,6,12,150,1.712925672531128
ogbench:cube-single.occ,hacsmv4_single,1,late,14,20,150,1.6228712797164917
ogbench:cube-single.occ,hacsmv4_single,1,longer,10,19,150,1.6827753782272339
ogbench:cube-single.occ,hacsmv4_single,2,original,10,16,150,1.6100341081619263
ogbench:cube-single.occ,hacsmv4_single,2,early,6,12,150,1.7478435039520264
ogbench:cube-single.occ,hacsmv4_single,2,late,14,20,150,1.6293234825134277
ogbench:cube-single.occ,hacsmv4_single,2,longer,10,19,150,1.7261642217636108
ogbench:cube-single.occ,hacsmv4,0,original,10,16,150,1.5876213312149048
ogbench:cube-single.occ,hacsmv4,0,early,6,12,150,1.6510416269302368
ogbench:cube-single.occ,hacsmv4,0,late,14,20,150,1.5797994136810303
ogbench:cube-single.occ,hacsmv4,0,longer,10,19,150,1.649983525276184
ogbench:cube-single.occ,hacsmv4,1,original,10,16,150,1.5917786359786987
ogbench:cube-single.occ,hacsmv4,1,early,6,12,150,1.6562073230743408
ogbench:cube-single.occ,hacsmv4,1,late,14,20,150,1.5970526933670044
ogbench:cube-single.occ,hacsmv4,1,longer,10,19,150,1.6077775955200195
ogbench:cube-single.occ,hacsmv4,2,original,10,16,150,1.5526721477508545
ogbench:cube-single.occ,hacsmv4,2,early,6,12,150,1.6540484428405762
ogbench:cube-single.occ,hacsmv4,2,late,14,20,150,1.5526005029678345
ogbench:cube-single.occ,hacsmv4,2,longer,10,19,150,1.634103775024414
